127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/codemirror/js/codemirror.js HTTP/1.1" 200 306022
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/FuncViews/js/Main/Index.js HTTP/1.1" 200 27451
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "POST /KanBan/DCIAppDatas.dsc?_dc=1453342628817 HTTP/1.1" 200 2537
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "POST /KanBan/PublicCtrl.dsc HTTP/1.1" 200 37
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/util/splitter/mini-bottom.gif HTTP/1.1" 200 856
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tab-bar/default-scroll-left-top.gif HTTP/1.1" 200 344
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tab-bar/default-scroll-right-top.gif HTTP/1.1" 200 347
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/util/splitter/mini-top.gif HTTP/1.1" 200 856
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/BtnStartTimer24.png HTTP/1.1" 200 1515
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/logout.png HTTP/1.1" 200 4317
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/util/splitter/mini-left.gif HTTP/1.1" 200 871
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/refresh01.png HTTP/1.1" 200 3898
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/addfolder.png HTTP/1.1" 200 3836
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/deletefolder.png HTTP/1.1" 200 653
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/collapse.png HTTP/1.1" 200 3656
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/save01.png HTTP/1.1" 200 525
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/expand.png HTTP/1.1" 200 3694
